uid,held,held_source
2026 INSC 1,"The Gujarat High Court’s judgment dated 15 July 2015, as a matter of law, declared that customs duty could not be levied on electrical energy cleared from the appellant’s SEZ unit to the DTA, having regard to the absence of a lawful charging event u/s.12 of the Customs Act, the limited scope of s.25 of that Act, the parity requirement of s.30 of the SEZ Act and the constitutional constraints of Arts.14 and 265 is squarely applicable to the judgment and order dated 28.06.2019 - That declaration was not confined in principle to Notification No.25/2010-Cus. or to the period ending 15 September 2010 - It went to the authority to levy customs duty on SEZ-to-DTA electricity clearances in the statutory setting then obtaining - The subsequent notifications namely, Notification No.91/2010-Cus. prescribing ten paise per unit and Notification No.26/2012-Cus. prescribing three paise per unit, did not create a new levy on a new footing - They merely continued the same levy in altered form - The change in arithmetical rate by prospective character does not cure the lack of authority in principle - There was no material change in law or fact between 15 September 2010 and 15 February 2016 that would justify a departure from the 2015 ruling - Section 30 of the SEZ Act remained unaltered - Imported electrical energy bore no customs duty under the Customs Tariff Act, 1975 - The same parity logic applied to S.C.A. No.2233 of 2016 disposed of on 28.06.2019 - The Division Bench of the High Court in 2019, being a co-ordinate Bench, was bound either to follow the 2015 decision or, if it doubted its correctness or applicability, ought to have referred the question to a larger Bench - It could not have circumvented that discipline by artificially narrowing down the earlier ruling - Its refusal to extend the 2015 declaration to the later period was therefore contrary to law - Once it is held that the levy itself was without authority of law, the State cannot retain the amount collected under such levy - Restitution is a necessary incident of the finding of illegality - Accordingly, the impugned judgment of the High Court dated 28 June 2019 cannot be sustained. [Para 86] Customs Act, 1962 - ss.12, 25 - Special Economic Zones Act, 2005 - s.30 - SEZ Rules, 2006 - r.47(3) - Finance Act, 2010 - Whether the levy of customs duty on electrical energy cleared by the appellant from its SEZ unit to the DTA during the relevant period, as sought to be enforced through Notification No. 25/2010-Cus., Notification No. 91/2010-Cus., Notification No. 26/2012-Cus., and similar instruments, was without authority of law: Adani Power Ltd. & Anr v. Union of India & Ors. Held: The levy of customs duty on electrical energy cleared by the appellant from its SEZ unit to the DTA during the relevant period, as sought to be enforced through Notification No.25/2010-Cus., Notification No.91/2010-Cus., Notification No.26/2012-Cus., and similar instruments, was without authority of law. [Para 87] Judicial Discipline - Decision by Co-ordinate Bench of the High Court: Held: When a coordinate Bench of a High Court has already determined a question of law, a subsequent Bench of equal strength is bound to follow that view; if it doubts its correctness, the only permissible course is to refer the matter to a larger Bench. [Para 80] Administrative Law - Where a court of competent jurisdiction has struck down the foundation of a levy as ultra vires: Held: In administrative law, where a court of competent jurisdiction has struck down the foundation of a levy as ultra vires, that declaration renders all successive and derivative attempts to enforce the same levy equally unenforceable, unless the statutory or factual basis has materially changed - The State cannot defend the continuation of the same vice by saying, this is a different notification number - The Court is bound to look past the label and examine the substance. [Para 69] Customs Act, 1962 - ss.12, 25 - Special Economic Zones Act, 2005 - s.30 - SEZ Rules, 2006 - r.47(3) - Finance Act, 2010 - Where a levy has been declared to be without authority of law: Held: Where a levy has been declared to be without authority of law, a subsequent petition seeking enforcement of that declaration and consequential relief cannot be treated as a fresh challenge merely because the levy is sought to be continued under later or similar notifications - In the absence of any new statutory basis, such notifications do not create a new cause of action - A constitutional court is entitled to grant effective relief without insisting upon separate challenges to each such notification. [Para 74]",headnote
2026 INSC 10,"Respondent no. 2-State, conceded that the rejection of the petitioner’s application for refund was founded on r.218 of the U.P. Stamp Rules, 1942 (as amended), which proscribes refund of physical non-judicial stamp papers after the expiry of a period of eight years, was taken on a bona fide interpretation of the said provision, and tendered an unconditional apology, and stated that respondent no. 2 remains duty-bound to implement the directions issued by this Court in the interest of justice - Thus, issuance of direction simpliciter to respondent no. 2 to refund a sum of Rs. 3,99,100/- to the petitioner, upon return of the non-judicial stamp papers received by him from respondent no. 1, within the stipulated period - U.P. Stamp Rules, 1942. [Paras 7, 8] * Author Dharmendra Sharma v. M. Arunmozhi & Anr.",headnote
2026 INSC 105,"In considered view of this Court, the Division Bench transgressed the limits of its jurisdiction in interfering with the electoral process, in disregard of the settled position of law - By virtue of the express constitutional embargo contained in Art.243-O of the Constitution of India, the High Court is precluded * Author from exercising jurisdiction u/Art.226 of the Constitution where a law enacted by the State Legislature provides for the remedy of an election petition to redress grievances arising during the course of an election - The State of Uttarakhand has enacted the Uttarakhand Panchayati Raj Act, 2016 - Consequently, the bar envisaged u/Art.243-O of the Constitution stands attracted - The election process cannot be lightly interdicted or stalled at the behest of an individual grievance - The right to contest or question an election being statutory in nature, must be strictly construed and exercised in accordance with the statute governing the field - The High Court must, therefore, eschew the grant of liberal interim reliefs in favour of individuals and instead remain mindful of the overarching public interest in ensuring the smooth and uninterrupted conduct of elections across the State - In respect of individual grievances, the ultimate and exclusive remedy lies by way of an election petition - Given the non-obstante nature of Art.243-O of the Constitution, its mandate is required to be adhered to in both letter and spirit - Where the statute provides a complete and efficacious mechanism for redressal, the extraordinary exercise of jurisdiction u/Art.226 of the Constitution would defeat the very object for which Art.243-O was enacted as a non-obstante provision - Accordingly, the interim order dated 18.07.2025, passed by the High Court of Uttarakhand at Nainital in Special Appeal No.192 of 2025 is set aside. [Paras 9, 10, 12]",headnote
2026 INSC 106,"When an allegation of fraud is made with regard to arbitration agreement itself, such a dispute is generally recognised as a dispute, which is in the realm of non-arbitrability and the court will examine it, as a jurisdictional issue only to enquire whether the dispute has become non-arbitrable due to one or the other reason - In the present case, admission Deed is not genuine - There exists substantial and cogent material which casts serious doubt * Author Rajia Begum v. Barnali Mukherjee on the genuineness of the Admission Deed - Arbitration clause does not exist independently but is embedded in the document whose existence is seriously disputed - The dispute relating to the Admission Deed involves serious allegations going to the root of the arbitration agreement itself and is not amenable to arbitration at this stage - Arbitration is founded upon consent - A party may be bound by the arbitral process only if it is first shown, even at a prima facie level, that such a party had agreed to submit disputes to arbitration - Where the arbitration agreement itself is alleged to be forged or fabricated, the disputes cease to be merely contractual and strikes at the very root of arbitral jurisdiction - A controversy of this nature falls squarely within the category of disputes that are generally recognized as non-arbitrable - Order passed by the High Court allowing the respondent no.1’s application u/s.8 of the Act referring the dispute in Suit to be resolved through arbitration is unsustainable and is quashed and set aside - Order of the High Court rejecting the respondent no.1’s application u/s.11 of the Act for the appointment of arbitrator warrants no interference and is affirmed. [Paras 15, 16, 20, 24] Fraud - Arbitration and Conciliation Act, 1996 - Impact of fraud on arbitrability of a dispute: Held: Mere allegation of fraud simpliciter may not be a ground to nullify the arbitration agreement between the parties, but where the court finds that there are serious allegations of fraud which make a case of criminal offence or where the allegations of fraud are so complicated, which need to be decided on the basis of voluminous evidence, the court can sidetrack the arbitration agreement and proceed with the suit - Court can proceed with the suit in cases where the fraud is alleged against the arbitration provision itself or is of a such a nature which permeates the entire contract, including the agreement to arbitrate, meaning thereby in those cases where fraud goes to the validity of the contract itself which contains an arbitration clause or the validity of the arbitration clause itself. [Para 12] Constitution of India - Article 227 - Arbitration and Conciliation Act, 1996: Held: Both the Trial Court and the First Appellate Court had concurrently held that the allegations of fraud in the present case were serious and that the respondent no.1 had failed to 272",headnote
2026 INSC 112,"Provisions of the Act, particularly s.29A, must not be interpreted to infer a threshold bar for an application u/s.29A(5) for extension of the mandate of the arbitrator even when an award is passed, though after the expiry of the mandate - Court can entertain an application u/s.29A(5) and pass appropriate orders u/s.29A(4) for extension of the mandate of the arbitrator even after the award is rendered in the meanwhile - Thus, an application u/s.29A(5) for extension of the mandate of the arbitrator is maintainable even after the expiry of the time u/ss.29A(1) and (3) and even after rendering of an award during that time - Such an award is ineffective and unenforceable - But the power of the court to consider extension is not impaired by such an indiscretion of the arbitrator - While considering the application, the Court will examine if there is sufficient cause for extending the mandate, and in the process, it may impose such terms and conditions as the situation demands - It will also take into account other factors such as reduction of the fee of the arbitrator under proviso to s.29A(4) and also impose costs on parties if the fact situation so demands - Substitution is an option for the Court as the provision itself says, “it shall be open for the Court to substitute”, and it will be exercised carefully - If the mandate is extended, the arbitral tribunal will pick up from where it was left, and seamlessly continue the proceeding from the stage at which the mandate had expired, and conclude within the time granted - Appeal against the judgment in Application No. 5993 of 2024 passed by the High Court is allowed - Application is restored to its original number - High Court will proceed with the said application and dispose it of as per the principles laid down in the present judgment. [Paras 2, 20, 21, 23, 24] Arbitration and Conciliation Act, 1996 - s.29A - Interpretation: Held: Sub-section (1) of s.29A mandates that the award shall be made within 12 months of the completion of pleadings before the Arbitral Tribunal - While sub-section (2) incentivises expeditious making of the Award, proviso to sub-section (4) and sub-section (8) authorises the Court to impose penalty for delay in making the award - Sub-section (3) enables parties, by consent, to extend the period of 12 months for making the award by a further period not exceeding 6 months - If the award is not made within the stipulated period of 12 months or the extended period of 6 months, the mandate of the arbitrator(s) shall terminate - This termination is subject to the power of the Court to extend the period - The ‘Court’ u/s.29A shall be the Civil Court of ordinary original jurisdiction in a district and includes the High Court in exercise of its original civil jurisdiction u/s.2(1)(e), and shall not be the High Court or the Supreme Court u/s.11(6) of the Act - s.42 of the Act relating to jurisdiction for applications will also not apply to s.11 of the Act - There is no statutory prescribed time limit for the Court to exercise C. Velusamy v.",headnote
2026 INSC 113,"Pennaiyar River water dispute has been pending consideration before this Court since the year 2018 - Multiple efforts have been undertaken by the concerned stakeholders to bring about an amicable resolution of the dispute - However, the negotiation process has not yielded any mutually acceptable outcome - In view of the inability of the parties to arrive at a common settlement, * Author appropriate to call upon the Central Government to constitute a tribunal in terms of the statutory framework, so that the dispute may be adjudicated in accordance with law - In addition, the affidavit filed by the Union records that, during the ministerial- level negotiations, the plaintiff-State unequivocally conveyed that the Pennaiyar River water dispute ought to be resolved through adjudication by a Tribunal and in view thereof, the defendant no.2 took a decision to indefinitely defer the negotiation process - Thus, issuance of direction to the Central Government to issue an appropriate notification in the Official Gazette and to constitute a Water Disputes Tribunal for the adjudication of the inter se water dispute between the parties, within the one month from the date of judgment. [Paras 7-10]",headnote
2026 INSC 114,"The NCDRC has erred in dismissing the appellants’ complaint - The onus of proving that the appellants fall within the exclusion clause of s.2(1)(d) of the 1986 Act rests upon the respondents, and the respondents have failed to discharge this onus on a preponderance of probabilities - The determinative question is whether the dominant intention or dominant purpose * Author Vinit Bahri and Another v. M/s MGF Developers Ltd. and Another behind purchasing the flat was to facilitate profit generation through commercial activity, and whether there exists a close and direct nexus between the purchase and such profit-generating activity - The respondents have not placed any cogent material on record to establish such nexus - The mere factum of leasing out the flat does not, by itself, demonstrate that the appellants purchased the property with the dominant purpose of engaging in commercial activity - The question of what constitutes ‘commercial purpose’ is a question of fact to be decided in the circumstances of each case based on the purpose to which the goods/properties were purchased - It must be emphasized that the mere act of purchasing immovable property, even multiple units, cannot ipso facto attract the exclusion clause of s.2(1)(d) of the 1986 Act unless and until it is proved that the dominant purpose behind such purchase was commercial in nature - In absence of such proof, the appellants cannot be excluded from the definition of ‘consumer’ under the 1986 Act. [Para 17]",headnote
2026 INSC 116,"Single Judge, when he entertained s.11 application and interpreted a contractual document had jurisdiction to do so u/s.11 - Right or wrong, that decision should bind - Respondents did not carry the order appointing an arbitrator in appeal - In view thereof, the holding in SBP’s case squarely applies and the respondents could not have challenged the existence and validity of the arbitration clause before the arbitrator - Order appointing the Arbitrator read with the law laid down in SBP’s case that not only will the parties be bound before the Arbitrator with regard to the finding on existence and validity of the arbitration agreement they will also be bound during the subsequent stages of the proceedings which would include the s.34 application stage, the s.37 appeal stage and before this Court, clearly operates as a res judicata, as regards the existence of and validity of the arbitration agreement between the parties - Commercial Court missed the conceptual distinction between “Precedent” and “Res judicata ” and thus, fell into an error - Commercial Court and the High Court erred in going into the existence and validity of clause 23 and pronouncing that the said clause was not an arbitration clause - Judgment of the High Court set aside - Matter remitted to the Commercial Court. [Paras 29-32] Jurisprudence - Precedent and Res Judiciata - Distinction: Held: Decision between two parties which sets out a principle of law will operate as a precedent for disputes between two other parties too - Precedent operates in rem - In contrast, res judicata operates in personam between the same parties either in the later stage of the same litigation between them or in a different litigation between them. [Para 24]",headnote
2026 INSC 117,"Appointment of the part time or contractual instructors/ teachers no longer remained contractual in nature once the contract period of eleven months for which they were initially * Author appointed or the extended contract period stood expired - They were not even part time instructors/teachers as they were specifically prohibited for taking any job or part time employment elsewhere during their spare time - In fact, these instructors/ teachers having continued continuously for over ten years in a row are deemed to be employed permanently against deemed substantive posts, as with the passage of time and keeping in mind the continuity of the work, such posts stand automatically created - The honorarium payable to these instructors/teachers cannot remain stagnant and the same is revisable periodically at least once in three years - Any action of the State/Union Government to employ instructors/teachers on a fixed honorarium of Rs.7,000/- per month as was initially fixed in 2013-14 amounts to ‘Begar’ and unfair practice violative of Article 23 of the Constitution - Part time contractual instructors/teachers appointed in the Upper Primary School in the State of U.P. are entitled to revision of their honorarium of Rs.7,000/- per month which was initially fixed for the contract period of eleven months in the year 2013 - Said revision has to take place, if not annually then periodically as per the discretion of the Project Approval Board (PAB) - Since the PAB for the year 2017-18 had determined the said honorarium to be Rs.17,000/- per month, all instructors/teachers appointed under the scheme are entitled for the payment of the same at the rate of Rs.17,000/- per month with effect from 2017-18 till further revision takes place - State Government shall start paying honorarium to them at the rate of Rs.17,000/- per month w.e.f. 01.04.2026, arrears thereof shall be paid within six months from today - State Government may recover the contribution of the Central Government from the Union of India - Right of Children to Free and Compulsory Education Rules, 2010 - r.20. [Paras 70 (i)-(iii), (vii), 72] Constitution of India - Article 23 - State’s action of withdrawing a legitimately enhanced wage and then allowing honorarium to remain artificially depressed inconsistent with the spirit of Article 23: Held: The State’s actions created a condition of economic coercion that is inconsistent with the constitutional safeguards against forced labour - Its action of withdrawing a legitimately enhanced wage and then allowing honorarium to remain artificially depressed U.P. Junior High School Council Instructor Welfare Association v. State of Uttar Pradesh & Ors. would, in substance, be inconsistent with the spirit of Article 23 of the Constitution which prohibits all forms of forced labour - The State, under the guise of contractual management or financial constraint, cannot compel labours/teachers to such coercive circumstances - The honorarium fixed for these instructors/teachers under the contract cannot remain stagnant and is revisable suitably on periodical basis and that if once revised and increased cannot be reduced for subsequent periods.",headnote
2026 INSC 118,"In matters of custody, the paramount consideration is the welfare of the children but nonetheless there are other factors- conduct of the parties, their financial capacity, their standard of living, as well as the comfort and education of the children which weigh before the court while passing the final order of custody - Thus, not correct on the part of the High Court in holding that such factors not very relevant and that the custody of the minors has to depend upon their welfare alone - High Court while granting the custody to respondent-wife did not consider the effect and * Author Mohtashem Billah Malik v. Sana Aftab impact of the conduct of the respondent-wife having travelled and moved the minors to India without the permission of the Court, and without the consent of the appellant-father, who was guardian and without obtaining the original passports from him but rather by procuring fake or duplicate or fresh passports; failed to consider the order of the Qatar Court revoking the custody order in favour of the respondent-wife; order of the Contempt Court holding the respondent-wife guilty of committing contempt of the court for violation of her own undertaking given to the High Court that she will return to Qatar for the continuation of the minor’s education but travelled alone leaving the minors behind in India; the Qatar Court order giving clean chit to husband as regards conviction for assault; and the findings recorded by the Family Court, Srinagar indicating that the minor children had shown inclination to accompany the appellant-father to Qatar as also the mediation report, that both children appearing comfortable with the prospect of being without their mother - While these aspects may not, by themselves, be the sole reason for determining custody, they are nevertheless necessary and relevant factors, and their cumulative effect was at least relevant for determining the custody arrangement - Impugned judgment and order passed by the High Court cannot be sustained in law and is set aside - Matter remanded to the High Court for reconsideration. [Paras 22-33]",headnote
